estimate,ground_truth,relative_error_pct,energy_proxy,cpu_time,wall_time,cheap_hash_calls,full_hash_calls,register_updates,skipped_updates,total_items,cpu_time_per_M,wall_time_per_M,cheap_calls_per_M,full_calls_per_M,register_updates_per_M,skipped_updates_per_M,update_rate,skip_rate,variant,controller,stream
5449.762706601321,4970,9.653173171052737,33347800.000000004,0.579949,0.08177328109741211,0,25000,1873,0,25000,23.197960000000002,3.2709312438964844,0.0,1000000.0,74920.0,0.0,0.07492,0.0,Std HLL,N/A,Random
5449.762706601321,4970,9.653173171052737,20770160.000000004,0.2662260000000001,0.14251112937927246,0,25000,1514,23486,25000,10.649040000000003,5.700445175170898,0.0,1000000.0,60560.0,939440.0,0.06056,0.93944,THLL,False,Random
5449.762706601321,4970,9.653173171052737,14235120.000000004,0.10230200000000012,0.06875109672546387,0,25000,1788,23212,25000,4.092080000000005,2.7500438690185547,0.0,1000000.0,71520.0,928480.0,0.07152,0.92848,THLL,True,Random
5449.762706601321,4970,9.653173171052737,11895080.0,0.043630999999999975,0.043966054916381836,0,25000,1873,23127,25000,1.745239999999999,1.7586421966552734,0.0,1000000.0,74920.0,925080.0,0.07492,0.92508,AP-HLL,False,Random
5449.762706601321,4970,9.653173171052737,12667840.000000002,0.06295000000000006,0.06318020820617676,0,25000,1873,23127,25000,2.5180000000000025,2.5272083282470703,0.0,1000000.0,74920.0,925080.0,0.07492,0.92508,AP-HLL,True,Random
5449.762706601321,5000,8.995254132026421,11781920.0,0.040856,0.0410313606262207,0,25000,1846,0,25000,1.6342400000000001,1.6412544250488281,0.0,1000000.0,73840.0,0.0,0.07384,0.0,Std HLL,N/A,Adversarial
5449.762706601321,5000,8.995254132026421,11869520.000000004,0.04375400000000007,0.055420875549316406,0,25000,1492,23508,25000,1.7501600000000028,2.2168350219726562,0.0,1000000.0,59680.0,940320.0,0.05968,0.94032,THLL,False,Adversarial
5449.762706601321,5000,8.995254132026421,12767840.0,0.06562800000000002,0.0661168098449707,0,25000,1784,23216,25000,2.625120000000001,2.644672393798828,0.0,1000000.0,71360.0,928640.0,0.07136,0.92864,THLL,True,Adversarial
5449.762706601321,5000,8.995254132026421,11780799.999999994,0.040827999999999864,0.04082989692687988,0,25000,1846,23154,25000,1.6331199999999946,1.6331958770751953,0.0,1000000.0,73840.0,926160.0,0.07384,0.92616,AP-HLL,False,Adversarial
5449.762706601321,5000,8.995254132026421,12540000.000000011,0.059808000000000305,0.059815168380737305,0,25000,1846,23154,25000,2.392320000000012,2.392606735229492,0.0,1000000.0,73840.0,926160.0,0.07384,0.92616,AP-HLL,True,Adversarial
954.9160895004366,954,0.09602615308559284,11733799.999999994,0.04188899999999984,0.04484987258911133,0,25000,728,0,25000,1.6755599999999937,1.7939949035644531,0.0,1000000.0,29120.0,0.0,0.02912,0.0,Std HLL,N/A,Bursty
954.9160895004366,954,0.09602615308559284,11814720.000000002,0.04400000000000004,0.04439187049865723,0,25000,684,24316,25000,1.7600000000000016,1.775674819946289,0.0,1000000.0,27360.0,972640.0,0.02736,0.97264,THLL,False,Bursty
954.9160895004366,954,0.09602615308559284,12733160.000000007,0.06687300000000018,0.06921815872192383,0,25000,728,24272,25000,2.6749200000000073,2.768726348876953,0.0,1000000.0,29120.0,970880.0,0.02912,0.97088,THLL,True,Bursty
954.9160895004366,954,0.09602615308559284,11953999.999999989,0.047393999999999714,0.051757097244262695,0,25000,728,24272,25000,1.8957599999999886,2.070283889770508,0.0,1000000.0,29120.0,970880.0,0.02912,0.97088,AP-HLL,False,Bursty
954.9160895004366,954,0.09602615308559284,12647559.999999996,0.06473299999999993,0.06497883796691895,0,25000,728,24272,25000,2.589319999999997,2.599153518676758,0.0,1000000.0,29120.0,970880.0,0.02912,0.97088,AP-HLL,True,Bursty
